hospital_id,name,type,address,city,state,pincode,latitude,longitude,phone,email,website,beds,specialties,operating_hours,emergency_services,ambulance_available,icu_beds,ventilators,oxygen_supply,blood_bank,accreditation,source,timestamp
OSM-50033,Govt Maternity Hospital,Hospital,,,,,13.0720996,80.2589871,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932499
OSM-50034,Institute of Child Health,Hospital,,,,,13.0735496,80.257025,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932501
OSM-50035,Institute of Obstetrics and Gynaecology dd,Hospital,,,,,13.0735431,80.2591463,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932502
OSM-50036,Ellen Multispeciality Hospital,Hospital,,,,,11.0213634,76.9708723,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932504
OSM-50037,GP Hospital,Hospital,,,,,11.0201233,76.9710726,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932505
OSM-50038,Saravana Dental Care Hospital,Hospital,,,,,11.0028292,76.9513725,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932506
OSM-50039,Senthil Hospital,Hospital,,,,,11.0089752,76.9578034,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932508
OSM-50040,Dr. S. G. Rajarathinam Hospital,Hospital,"Vivekananda Road, Ram Nagar, Coimbatore - 641009",,Tamil Nadu,641009,11.0095256,76.9619316,4222236730,,https://dr-sg-rajarathnam-hospital.business.site/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932512
OSM-50041,"K. G. Hospital, Coimbatore",Hospital,"Opp To Taluk Office, 5, Government Arts College Road, Coimbatore",,Tamil Nadu,641018,11.0004227,76.9715023,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932514
OSM-50042,Bel Air Hospital,Hospital,,,,,17.9214501,73.79792,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932516
OSM-50043,Saint Anne's Hospital,Hospital,,,,,19.2733799,72.883476,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932517
OSM-50044,Sengaliappan Nursing Home,Hospital,,,,,11.0165542,76.955239,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932519
OSM-50045,Thrikkakara Municipal Co-operative Hospital,Hospital,Kakkanad,,,682030,10.01816,76.34672,4842955310,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932522
OSM-50046,vengola govt homoeo dispensary,Hospital,,,,,10.0971798,76.4511132,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932523
OSM-50047,"Sunrise Hospital, Ernakulam",Hospital,"Vii/528-B & Vii/528-C, Seaport - Airport Road, Kakkanad, Kochi",,Kerala,682030,10.0252315,76.3388796,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932526
OSM-50048,National Centre for Training and Research into Cerebral Palsy,Hospital,,,,,19.0516428,72.8321317,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932527
OSM-50049,Vikram Hospitals,Hospital,"1-98/90/26, Near IOC Petrol Bunk, Hi-Tech City Main Road, Madhapur",,Telangana,500033,17.4406857,78.3916647,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932530
OSM-50050,Image Hospitals,Hospital,"Plot No 8 & 9, Arunodaya Cooperative Housing Society, Vittal Rao nagar, Madhapur",,Telangana,500081,17.4444337,78.3860746,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932532
OSM-50051,DAE Hospital,Hospital,,,,,12.5037319,80.159635,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932534
OSM-50052,JBS Hospital,Hospital,Kanakapura Road,,,,12.9207173,77.5745968,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932536
OSM-50053,Jayanagar heart Centre,Hospital,,,,,12.9231684,77.584433,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932539
OSM-50054,MIOT International,Hospital,"Manapakkam, 4/112, Mount Poonamalle Road",,Tamil Nadu,600089,13.0211808,80.1858412,4442002288,enq@miothospitals.com,https://www.miotinternational.com/,,,24/7,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932543
OSM-50055,St. Thomas Hospital,Hospital,"No. 5, 105, Defence Colony 1st Ave, Seven Wells, St.Thomas Mount",,Tamil Nadu,600016,13.0122733,80.196428,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932549
OSM-50056,Govt Primary Health Centre,Hospital,,,,,12.5274531,80.1631378,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932551
OSM-50057,Unknown Hospital,Hospital,,,,,13.009781,80.1949734,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932553
OSM-50058,Venkataeswara Hospitals,Hospital,"121-A(New No-36A), Chamiers Road, Nandanam",,Tamil Nadu,600035,13.0293624,80.2440921,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932556
OSM-50059,Government Hospital,Hospital,,,,,12.7289287,77.8253132,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932558
OSM-50060,Ayurvedic Hospital,Hospital,,,,,13.6800047,79.350315,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932560
OSM-50061,Unknown Hospital,Hospital,,,,,13.681619,79.3466609,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932562
OSM-50062,Sarswathi Hospital,Hospital,,,,,12.9653846,80.2067733,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932563
OSM-50063,Sri Vijayalakshmi Pragathi Hospital,Hospital,,,,,13.0371728,77.6409543,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932565
OSM-50064,Sathya Hospital,Hospital,,,,,13.0185503,77.6364728,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932567
OSM-50065,Jasmine Hospital And Wow Clinic,Hospital,"Panchsheel Vishal Complex, 1st Floor, Sector-5 Near Sai Nidhi Hotel Airoli Navi Mumbai",,Maharashtra,400708,19.1486707,72.9998192,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932570
OSM-50066,Ramakrishna Hospital,Hospital,,,,,12.8500655,77.6624706,8040800300,,http://rkhealth.com/,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932572
OSM-50067,Apollo Clinic & Pharmacy,Hospital,,,,,13.05244,80.2041657,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932574
OSM-50068,Vijaya Heart Centre,Hospital,,,,,13.0483819,80.2070144,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932576
OSM-50069,ESI Hospital,Hospital,,,,,12.3383212,76.6323943,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932578
OSM-50070,Adithya Adhikari Hospital,Hospital,"417 Contour Road, Gokulam Ii Nd Stag Near Vijaya Bank",,Karnataka,570002,12.3315512,76.6271812,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932580
OSM-50071,Ameerpet Government Hospital,Hospital,,,,,17.4417142,78.4478775,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932582
OSM-50072,Sri Vijaya Hospitals,Hospital,,,,,17.4422795,78.4480341,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932585
OSM-50073,PAMC Hospital (Pandian Advanced Medical Centre),Hospital,"Opp To Milk Project, Madurai South, K.K.Nagar,Madurai",,Tamil Nadu,625020,9.9267975,78.1420027,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932588
OSM-50074,Aravind Eye Hospitals,Hospital,"Kuruvikaran Salai, Anna Nagar, Sathamangalam",,Tamil Nadu,625020,9.9212003,78.1398805,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932591
OSM-50075,Government Vetinary Hospital,Hospital,,,,,9.9317265,78.1401058,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932592
OSM-50076,Chord Road Hospital Pvt Ltd,Hospital,"#100/101, Lic Colony West Of Chord, Basaveshwaranagar","Basaveshwara Nagar, Bangalore",Karnataka,560079,12.9981215,77.5404836,8023225878,chordroadhospital100@yahoo.co.in,http://www.chordroadhospitalent.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932598
OSM-50077,Government Hospital,Hospital,,,,,10.2512627,78.8135488,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932601
OSM-50078,Pristline Hospital,Hospital,Modi Hospital Road (West of Chord Road),"Basaveshwara Nagar, Bangalore",,560079,12.9978931,77.5436127,8051270776,pristinehospitals@pristinehospitals.com,http://www.pristinehospitals.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932605
OSM-50079,Sree Priya Multi Speciality Hospital,Hospital,,,,,17.4415414,78.4461255,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932607
OSM-50080,B.M.Orthopaedic Hospital,Hospital,"# 3/157, M.T.H.Road, ,Ambattur",,Tamil Nadu,600053,13.1181104,80.1499411,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932609
OSM-50081,Ashoka Clinic,Hospital,,,,,12.2922036,76.6423443,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932611
OSM-50082,MES Hospital,Hospital,,,,,11.0611294,76.3442394,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932613
OSM-50083,Dhanvantari Hospitals Pvt.Ltd.,Hospital,"Thakkar Plaza , Ground Floor, Kulgaon , Badlapur (E)",,Maharashtra,421503,19.1645468,73.2393372,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932615
OSM-50084,"Bengaluru Hospital, Susruta Medical Aid AndResearch Home Limited",Hospital,"202, R.V.Road",,Karnataka,560001,12.9376734,77.5802836,,info@Bengaluruhospital.co.in,http://dpal.kar.nic.in/Kanunu%20padakosha%20PDF%20Files/Recognised%20Hospitals.pdf,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932618
OSM-50085,skandan nursing home,Hospital,,,,,12.9447938,80.1405596,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932620
OSM-50086,"Vasan Eye Care Hospital, Vadapalani",Hospital,"D No 154/2, Aroot Road, Vadapalani",,Tamil Nadu,600026,13.0495316,80.211027,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932622
OSM-50087,JJ Hospital,Hospital,,,,,13.0571293,80.1942138,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932623
OSM-50088,Regional Institute of Ophthalmology,Hospital,,,,,8.4998439,76.9410501,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932625
OSM-50089,Dr Govindans Hospital,Hospital,Thiruvananthapuram,,Kerala,695005,8.4986554,76.9431315,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932627
OSM-50090,Thottabhagam Hospital,Hospital,,,,,9.3852283,76.6153372,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932628
OSM-50091,Manipal Northside Hospital,Hospital,"71, 11Th Main Road, Opposite Malleshwaram Railway Station, Malleshwaram",bangalore,Karnataka,560003,13.0011275,77.5639285,8022221111,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932631
OSM-50092,Rahmat Ali hospital,Hospital,,,,,17.3672265,78.4859878,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932633
OSM-50093,Saritha Clinic,Hospital,,Khammam,,,17.2557178,80.1457999,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932635
OSM-50094,Janata Hospital,Hospital,,,,,17.2481922,80.1464407,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932636
OSM-50095,Praja vaidyasala (YRK),Hospital,,,,,17.2411982,80.1384703,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932638
OSM-50096,Satya Hospital,Hospital,,,,,17.407574,78.512174,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932639
OSM-50097,Syamala Hospital,Hospital,"Z.P Centre,Wyra Road",,Telangana,507001,17.2480311,80.1513428,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932642
OSM-50098,Ramanathan Hospital,Hospital,,,,,10.7729537,79.1331354,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932643
OSM-50099,Silent Valley Hospital,Hospital,,,,,10.0794143,77.1674719,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932645
OSM-50100,"S.B. Hospital Urology, Nephrology & Fertility Research Centre",Hospital,"Ii Nd St, Rajappanagar,Medical College Road",Thanjavur,Tamil Nadu,613007,10.7755458,79.1254,,,https://www.sbhospital.in/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932647
OSM-50101,Government Hospital,Hospital,,,,,12.5246186,76.8998873,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932649
OSM-50102,Nakrekal,Hospital,,,,,17.1611289,79.4348558,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932650
OSM-50103,Government Primary Health Centre,Hospital,,,,,12.9503234,77.6162619,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932652
OSM-50104,Innova Children's Heart Hospital,Hospital,"12-5-30, Whith House, Moulali Road, Tarnaka",,Telangana,500017,17.4293162,78.533452,9000991535,,https://www.innovahospitals.in/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932655
OSM-50105,Apollo Clinic,Hospital,,,,,17.4290954,78.5333362,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932657
OSM-50106,AVM Medical Centre,Hospital,,,,,10.7876968,79.1384135,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932658
OSM-50107,Divakars speciality Hospital,Hospital,"220, 2nd phase, JP Nagar,Next to Nilgiris",,Karnataka,560078,12.9100629,77.5924585,,,http://www.healthforher.in/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932660
OSM-50108,Shashi,Hospital,,,,,17.2474829,80.1508547,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932662
OSM-50109,eye hospital,Hospital,,,,,17.2491831,80.1513059,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932663
OSM-50110,District Govt Hospital,Hospital,"Khammam, Near Opp. Collectorate",,Telangana,507002,17.2498453,80.1521517,7422224175,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932666
OSM-50111,KRA Hospital,Hospital,,,,,10.7869754,79.1397985,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932668
OSM-50112,Hema Poly Clinic,Hospital,,,,,12.960765,77.7137961,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932669
OSM-50113,Adichunchanagiri Hospital,Hospital,,,,,12.9661122,76.7228216,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932671
OSM-50114,Sardar Patel Cantonment General Hospital,Hospital,"40, Solapur Baza Road",,Maharashtra,411001,18.5027163,73.87712,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932674
OSM-50115,TMA Pai Hospital,Hospital,,,,,13.3326012,74.7471694,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932676
OSM-50116,Vishnu Clinic,Hospital,,,,,17.2530296,80.1403907,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932677
OSM-50117,Praja Vaidyasala,Hospital,,,,,17.2574018,80.149205,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932679
OSM-50118,Kanakadurga clinic,Hospital,,,,,17.2617203,80.1435632,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932681
OSM-50119,Dr. Babasaheb Ambedkar Cantonment General Hospital,Hospital,"Bus Stop, Elphinston Road, Kasamali Jumbo Marg, Khadki",,Maharashtra,411003,18.569025,73.8486994,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932686
OSM-50120,Alphonsa Eye Hospital,Hospital,,,,,9.7088081,76.6765231,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932688
OSM-50121,Command Hospital Southern Command,Hospital,Right Flank Road,Pune,Maharashtra,,18.5005828,73.8894328,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932692
OSM-50122,Neomed Hospital,Hospital,"11Lakeview Road, Opp Sundaram Theatre, K K Nagar",,Tamil Nadu,625020,9.9291508,78.148482,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932695
OSM-50123,General Hospital,Hospital,Pala,,Kerala,686575,9.711455,76.6809641,,,,,,,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932697
OSM-50124,BMTC Hospital,Hospital,,,,,12.9234317,77.5923374,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932699
OSM-50125,District Hospital,Hospital,,,,,16.8254015,75.69243,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932701
OSM-50126,Borivali West,Hospital,"Factory Lane, near Railway Station, Bhatt Chawl, Mini Zaveri Bazaar, Mhatre Wadi, Borivali West",Mumbai,,400092,19.2298129,72.8471376,,hospitaldhanvantari621@gmail.com,https://dhanvantarihospitals.com/,,,24/7,Yes,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932705
OSM-50127,RamaKrishna Nursing Home,Hospital,,,,,17.2515488,80.1393924,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932707
OSM-50128,KMCH Hospital,Hospital,,,,,11.2788797,77.5848796,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932711
OSM-50129,Vasavi ENT Hospital,Hospital,,,,,17.40681,78.4645023,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932713
OSM-50130,Mahavir Hospital and Research Centre,Hospital,"10-1-1, Bhagwan Mahavir Marg, A.C Guards",,Telangana,500004,17.4036641,78.4570626,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932716
OSM-50131,Old Apollo Hospital,Hospital,,,,,17.3985586,78.4814113,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932718
OSM-50132,Krishna Children's Hospital,Hospital,"11-5423/A/B, Niloufer Road, Opp. Hanuman temple, Red Hills, Lakdikapool",,Telangana,500004,17.4021334,78.4625295,4065247760,,https://krishnachildrenhospital.in,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932723
OSM-50133,St Mary's Hospital,Hospital,Church road,,,,17.2378501,80.1457789,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932725
OSM-50134,Lumbini Hospital,Hospital,Station Road,,Telangana,507001,17.2503535,80.1398262,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932727
OSM-50135,"Mar Kavukatt Memorial Hospital, Anthinad",Hospital,"Palai - Thodupuzha Highway, Anthinad P.O., Near Palai",,Kerala,686651,9.7473158,76.703386,4822248927,,https://mkmhospital.com/,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932729
OSM-50136,Sri Charaka Ayurveda,Hospital,,,,,17.2519673,80.1577268,8742255082,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932731
OSM-50137,Sri Sivani,Hospital,,,,,17.2520808,80.1411098,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932733
OSM-50138,Rohith,Hospital,,,,,17.2475856,80.1488203,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932734
OSM-50139,Lalitha,Hospital,,,,,17.2477655,80.1485128,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932735
OSM-50140,Usha Hospital,Hospital,,,,,17.2481896,80.1474742,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932737
OSM-50141,City Hospital,Hospital,,,,,17.2480698,80.1473508,8742234559,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932739
OSM-50142,Kavya Hospital,Hospital,,,,,17.2481373,80.1472183,,,,,,,,,,,,,,OPENSTREETMAP,2026-08-23T14:34:53.932741
